term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
IsotopeStratigraphicDeterminations,isotope stratigraphic determinations,Container for detail referring to any isotope concentration study. Isotope stratigraphy uses a range of readings over a sequence of rocks to create profiles that are correlated with dated sequences.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
IsotopesMeasured,isotopes measured,What isotopes were used for this correlation,,,"Oxygen, Strontium, Carbon or more specific (O18/O16)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LatestDate,latest date,The latest date where a range of values is given,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LithificationHostRock,lithification host rock,The degree of lithification of the host rock,,,"unlithified, poorly lthified, lithified etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LithologyAttributesHostRock,lithology attributes host rock,Lithological  description of host rock,,,"cross-bedded,  finely laminated etc. could use an enumeration or lookup list",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LithologyHostRock,lithology host rock,The type of rock representing the host rock,,,"sandstone, mudstone, limestone etc",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LithostratigraphicAttribution,lithostratigraphic attribution,An individual identification of a named lithostratigraphic unit,,,The Hotwells Limestone Group.  The higher lithostratigraphic terms are also allowed to cover the possibility of rock name homonyms and indexing in the absence of  a complete dictionary of rock names.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LithostratigraphicAttributions,lithostratigraphic attributions,Allows for multiple identifications of any named lithostratigraphic units (,,,"Penarth Group, Langport Member, Rhaetic Bone Bed)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
LowerValue,lower value,Lower value of a range or single value. This can be expressed as a measured value,,,45% or as a chemical formula,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MagnetostratigraphicDetail,magnetostratigraphic detail,Free text describing the use of magnetostratigraphic correlation. ,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MagnetostratigraphicDetermination,magnetostratigraphic determination,Single record of magnetostratigraphic dating,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MagnetostratigraphicDeterminations,magnetostratigraphic determinations,"Container for details of any magnetostratigraphic evidence cited to support the dating of rocks. Magnetostratigraphy uses a range of readings over a sequence of rocks to provide a pattern that is correlated with known dated sequences. It includes its own series of divisions including superchrons, chrons and subchrons.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MaterialDated,material dated,What was actually dated?,,,"Glauconite grains in a sandstone, wood from peat-core etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MeasureFromBaseline,measure from baseline,Container for recording eith the distance (in metres) from a fixed baseline,,,top of a borehole or bottom of a measured section,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MeasurementUnit,measurement unit,Units that DistanceFromBaseline are measured in,,,metres,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Member,member,A sub-division of a formation which may be local in extent or exhibits a distinctive lithology,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralColour,mineral colour,Description of coloration of the mineral,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralDescriptionText,mineral description text,"Free text description of mineral unit which may include observations on its form and occurrence, origin or other associated facts",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralHabit,mineral habit,"Free text description of the mineral habit. Minerals occur in a variety of forms, which mayor may not be directly dependent on their crystalline structure",,,"nodular, columnar, radiating, mamillated, botryoidal, granular etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralMeasurementOrFact,mineral measurement or fact,Container for a single physical measurement or fact related to mineral,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralMeasurementsOrFacts,mineral measurements or facts,Container for measurements or facts related to physical properties of mineral,,,"streak, cleavage, specific gravity etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralRockClassification,mineral rock classification,Classification to which the group name belongs,,,"Dana, Strunz etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
MineralRockClassification,mineral rock classification,The classification from which this mineral or rockname has been taken,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
