seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
24.9111,173.756,0.701097,-0.547956,9.72443,0.00369738,0.00217503,-0.0111408
24.9688,173.492,0.667598,-0.550349,9.8345,0.00919515,0.0198901,-0.0227473
25.2578,173.481,0.732204,-0.521635,9.88954,0.00736257,0.0400487,-0.014806
25.3164,173.798,0.62692,-0.665205,9.80339,0.0146929,0.00950539,-0.0196929
25.374,173.809,0.672383,-0.543171,9.87997,0.00614083,0.0314965,-0.0111408
25.4316,173.661,0.751346,-0.5336,9.88475,0.0153038,-0.00271183,-0.0221364
25.4893,173.27,0.629312,-0.5336,9.74836,0.0116386,0.0088945,-0.0190821
25.5469,173.301,0.507278,-0.545564,9.91825,0.00919515,0.0015642,-0.023969
25.6045,173.365,0.717847,-0.569492,9.79143,0.0116386,0.00828367,-0.0215255
25.7305,173.555,0.727418,-0.555135,9.74357,0.00491911,-0.00576621,-0.0129734
