title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
Libro de Escritura (1842),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_019,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:74691,74691,297,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1844),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_020,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:53088,53088,369,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1845),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_021,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:54694,54694,340,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1846),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_022,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:74257,74257,253,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1847),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_023,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:53828,53828,303,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1848),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_024,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:55620,55620,477,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1850),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_025,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56017,56017,298,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1852),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_026,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:74511,74511,179,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1853),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_027,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:76917,76917,355,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1854),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_028,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56778,56778,494,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
