"rdf:about","dcterms:issued","dcterms:modified","rdfs:label","rdfs:comment","dcterms:description","skos:prefLabel","rdfs:isDefinedBy","rdf:type","rdfs:subPropertyOf","dwcattributes:status","dwcattributes:abcdEquivalence","dwcattributes:organizedInClass","dwcattributes:decision","dcterms:replaces","dcterms:replaces1","dcterms:replaces2"
"http://www.iobis.org/obis/ObservedIndividualCount-2005-07-10","2005-07-10","2005-07-10","ObservedIndividualCount","The number of individuals (abundance) found in a collection/record event.",,"Observed Individual Count","http://www.iobis.org/obis/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/LowerValue + constant",,,,,
"http://www.iobis.org/obis/ObservedWeight-2005-07-10","2005-07-10","2005-07-10","ObservedWeight","The total biomass found in a collection/record event. Expressed as kg.",,"Observed Weight","http://www.iobis.org/obis/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/LowerValue + constant",,,,,
"http://rs.tdwg.org/dwc/dwctype/Occurrence-2009-04-24","2008-11-19","2008-11-19","Occurrence","A resource describing an instance of the Occurrence class.",,"Occurrence","http://rs.tdwg.org/dwc/dwctype/","http://www.w3.org/2000/01/rdf-schema#Class","http://purl.org/dc/dcmitype/Event","superseded","not in ABCD",,,,,
"http://rs.tdwg.org/dwc/terms/Occurrence-2009-04-29","2008-11-19","2014-10-23","Occurrence","The category of information pertaining to evidence of an occurrence in nature, in a collection, or in a dataset (specimen, observation, etc.).",,"Occurrence","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/2000/01/rdf-schema#Class",,"superseded","DataSets/DataSet/Units/Unit",,"http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15","http://rs.tdwg.org/dwc/terms/Sample-2008-11-19",,
"http://rs.tdwg.org/dwc/dwctype/Occurrence-2011-10-16","2008-11-19","2014-10-23","Occurrence","A resource describing an instance of the Occurrence class.",,"Occurrence","http://rs.tdwg.org/dwc/dwctype/","http://www.w3.org/2000/01/rdf-schema#Class",,"deprecated","not in ABCD",,"http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15","http://rs.tdwg.org/dwc/dwctype/Occurrence-2009-04-24",,
"http://rs.tdwg.org/dwc/terms/Occurrence-2014-10-23","2008-11-19","2014-10-23","Occurrence","An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.","Examples: A wolf pack on the shore of Kluane Lake in 1988. A virus in a plant leaf in a the New York Botanical Garden at 15:29 on 2014-10-23. A fungus in Central Park in the summer of 1929.","Occurrence","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/2000/01/rdf-schema#Class",,"recommended","DataSets/DataSet/Units/Unit",,"http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15","http://rs.tdwg.org/dwc/terms/Occurrence-2009-04-29",,
"http://rs.tdwg.org/dwc/terms/occurrenceAttributes-2009-04-24","2008-11-19","2009-04-24","occurrenceAttributes","A list (concatenated and separated) of additional measurements, facts, characteristics, or assertions about the Occurrence.","Examples: ""Tragus length: 14mm; Weight: 120g"", ""Height: 1-1.5 meters tall; flowers yellow; uncommon"".","Occurrence Attributes","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"deprecated","DataSets/DataSet/Units/Unit/MeasurementsOrFacts","http://rs.tdwg.org/dwc/terms/Occurrence",,"http://rs.tdwg.org/dwc/dwcore/Attributes-2007-04-17",,
"http://rs.tdwg.org/dwc/terms/occurrenceDetails-2009-04-24","2008-11-19","2011-10-16","occurrenceDetails","A reference (publication, URI) to the most detailed information available about the Occurrence.","Example: ""http://mvzarctos.berkeley.edu/guid/MVZ:Mamm:165861""","Occurrence Details","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"deprecated","DataSets/DataSet/Units/Unit/RecordURI","http://rs.tdwg.org/dwc/terms/Occurrence","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2011-10-16_7","http://rs.tdwg.org/dwc/dwcore/RelatedInformation-2007-04-17",,
"http://rs.tdwg.org/dwc/terms/occurrenceID-2009-04-24","2008-11-19","2009-04-24","occurrenceID","An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.","For a specimen in the absence of a bona fide global unique identifier, for example, use the form: ""urn:catalog:[institutionCode]:[collectionCode]:[catalogNumber]. Examples: ""urn:lsid:nhm.ku.edu:Herps:32"", ""urn:catalog:FMNH:Mammal:145732""","Occurrence ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","recommended","DataSets/DataSet/Units/Unit/UnitGUID","http://rs.tdwg.org/dwc/terms/Occurrence",,"http://rs.tdwg.org/dwc/dwcore/GlobalUniqueIdentifier-2007-04-17",,
"http://rs.tdwg.org/dwc/terms/OccurrenceMeasurement-2008-11-19","2008-11-19","2009-04-24","OccurrenceMeasurement","The category of information pertaining to measurements accociated with an occurrence.",,"Occurrence Measurement","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/2000/01/rdf-schema#Class",,"superseded","Datasets/Dataset/Units/Unit/MeasurementsOrFacts","http://rs.tdwg.org/dwc/terms/Occurrence",,,,
"http://rs.tdwg.org/dwc/terms/occurrenceMeasurementAccuracy-2009-04-24","2009-01-18","2009-04-24","occurrenceMeasurementAccuracy","The description of the error associated with the occurrenceAttributeValue.","Example: ""0.01"", ""normal distribution with variation of 2 m""","Occurrence Measurement Accuracy","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://rs.tdwg.org/dwc/terms/accuracy","deprecated","DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Accuracy","http://rs.tdwg.org/dwc/terms/OccurrenceMeasurement",,"http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy-2009-01-18",,
