rdf_about,dcterms_issued,dcterms_modified,localName,rdfs_comment,dcterms_description,skos_prefLabel,rdfs_isDefinedBy,rdf_type,rdfs_subPropertyOf,dwcattributes_status,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://rs.tdwg.org/dwc/dwctype/PreservedSpecimen-2011-10-16,2008-11-19,2014-10-23,PreservedSpecimen,A resource describing a preserved specimen.,,Preserved Specimen,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,RecordBasisEnum/PreservedSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/PreservedSpecimen-2008-11-19,,
http://rs.tdwg.org/dwc/terms/PreservedSpecimen-2014-10-23,2014-10-23,2014-10-23,PreservedSpecimen,A specimen that has been preserved.,,Preserved Specimen,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,RecordBasisEnum/PreservedSpecimen,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/PreservedSpecimen-2011-10-16,,
http://rs.tdwg.org/dwc/terms/ResourceRelationship-2009-01-21,2008-11-19,2014-10-23,ResourceRelationship,"The category of information pertaining to relationships between resources (instances of data records, such as Occurrences, Taxa, Locations, Events).","Resources can be thought of as identifiable records and may include, but need not be limited to Occurrences, Locations, Events, Identifications, or Taxon records.",Resource Relationship,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Associations,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/terms/ResourceRelationship-2014-10-23,2008-11-19,2014-10-23,ResourceRelationship,A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another.,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa. Example: An instance of an Organism is the mother of another instance of an Organism.",Resource Relationship,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit/Associations,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/ResourceRelationship-2009-01-21,,
http://rs.tdwg.org/dwc/terms/Sample-2008-11-19,2008-11-19,2008-11-19,Sample,"Container class for information about the results of a sampling event (specimen, observation, etc.)",,Sample,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit,,,,,
http://rs.tdwg.org/dwc/terms/SampleAttribute-2008-11-19,2008-11-19,2008-11-19,SampleAttribute,Container class for information about attributes related to a given sample.,,Sample Attribute,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,Datasets/Dataset/Units/Unit/MeasurementsOrFacts,,,,,
http://rs.tdwg.org/dwc/terms/SamplingEvent-2008-11-19,2008-11-19,2008-11-19,SamplingEvent,Container class for information about the conditions and methods of acquisition of samples.,,Sampling Event,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Gathering,,,,,
http://rs.tdwg.org/dwc/terms/SamplingLocation-2008-11-19,2008-11-19,2008-11-19,SamplingLocation,Container class for information about the location where a sampling event occurred.,,Sampling Location,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit/Gathering/LocalityText,,,,,
http://rs.tdwg.org/dwc/terms/Taxon-2008-11-19,2008-11-19,2008-11-19,Taxon,The category of information pertaining to taxonomic names or concepts.,,Taxon,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,no simple equivalent in ABCD,,,,,
http://rs.tdwg.org/dwc/dwctype/Taxon-2009-01-23,2009-01-23,2014-10-23,Taxon,A resource describing an instance of the Taxon class.,,Taxon,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,not in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/terms/Taxon-2009-09-21,2008-11-19,2014-10-23,Taxon,"The category of information pertaining to taxonomic names, taxon name usages, or taxon concepts.",,Taxon,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,no simple equivalent in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Taxon-2008-11-19,,
http://rs.tdwg.org/dwc/terms/Taxon-2014-10-23,2008-11-19,2014-10-23,Taxon,A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.,Example: The genus Truncorotaloides as published by Brönnimann et al. in 1953 in the Journal of Paleontology Vol. 27(6) p. 817-820.,Taxon,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,no simple equivalent in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Taxon-2009-09-21,,
