usda,tsn
alin3,31034
allop2,31029
alcr9,28663
alho6,
alra,182117
alte13,
alti2,
allop,28661
alpy,500957
allos,500147
alci3,182544
allot2,182543
alvi2,23765
allot,23764
alho4,21776
allo2,21777
allow,21775
alpa14,507576
almut2,500890
alco13,
algl2,19470
alin2,181887
alini2,
alinr,181888
alint,181889
alja8,
alma7,19467
alne2,506826
alob2,19472
alpe10,
alrh2,19473
alru2,19474
alse2,19468
altr12,
alvi5,181893
alvic,181894
alvif,525225
alvis,181895
alfa4,184200
alnus,19466
albr14,
alcu5,185365
alma11,42557
almar,
alod3,
alpl5,182562
aloca,42556
alar8,505879
alfe2,505880
algr8,
alpe9,505878
alse10,
alsu8,
alve2,182653
alsc12,
aloe,42772
alal12,548248
alala,549323
albi7,547522
albr70,16687
alha5,16689
alri2,16688
aloin2,16686
alae,40436
alaea,182514
alaes,182515
alal2,40432
alar,40439
albr12,507481
albu3,
alca4,40440
alcr7,40441
alda3,
alge2,40437
algeg4,
almy,40443
alpr3,40438
alre3,182518
alsa3,40444
alut2,
alva6,
alha7,
alope,40431
aldr2,564998
aloph,43277
algr2,32132
algrg,182258
algrs,182259
alma9,32133
altr6,32135
alwr,32134
aloys,32131
alpo3,28452
alphi,28451
alga2,506513
almu2,182552
alof4,506514
alpu4,182554
alze,182557
alpin,182548
alca19,181757
alsia,181756
ally3,181917
alob4,20233
altr5,20234
alvi6,181918
alsin,20232
alam5,181809
albr3,17932
albr4,17933
alpo7,181810
alsop,17931
alma16,184802
alsto,184801
alau6,
alha2,185473
alps,185474
alpu2,185475
alstr,185471
albe,20764
albr5,20765
alca5,20766
alcr8,20774
alec2,
alfi8,
alfl,20767
alfl5,506828
alha3,506579
alma10,20768
alpa17,20769
alpaa2,181941
alpap,181940
alph,20770
alpu3,20771
alse4,20773
altr15,
alter2,20763
alca25,
alhi2,181985
alof2,21610
altha,21609
alam3,28829
alamp2,524885
alvar,28828
algl15,
alov,182098
alru4,26455
alva2,26456
alysi,26454
alut3,
alyss2,
alal13,
alal3,23030
alar9,
albo7,
albo8,
alco14,
alde,23032
alded,531256
aldeh,531257
aldi11,
aler,
alid2,
alle6,
alma18,
almu,23034
alob5,182001
alse8,
alsi8,
alst2,
alsz2,23035
alto4,
alyss,23029
alol2,30129
alto6,
alyxi,30128
amco17,
amda,
amle3,
ammi7,
ampo8,
ampu9,
amand,190908
amac,20718
amac6,
amal,20719
amar,20720
amau,20721
ambi,181922
ambl,20723
ambl2,181923
amblb,
amble2,
amblp,
ambr5,181924
amca,20725
amca2,20716
amca3,20726
amch8,
amcr,20728
amcrc,
amcrw,
amcr2,20729
amcr4,20730
amde,20731
amdu,20754
amfi,20732
amfl3,20733
amgr13,
amgrs,
amgr2,20734
amhy,20735
amhy2,20736
amli2,181925
ammu3,20738
amob,20739
ampa,20740
ampo,20741
ampo2,20742
ampob2,
ampop,
ampr,181926
ampu2,20744
amre,20745
amsc,20747
amsp,20748
amth2,506829
amto6,20749
amtr2,181927
amtu,20750
amve2,
amvi,20751
amwa,20752
amwr,20753
amte9,
amtu2,
amara,20715
ambe3,182706
amary,202501
ammo,185207
amber,185206
amde70,16112
ambly3,16111
amse,182438
ambly,182437
ampu3,185210
ambly2,185209
ammu5,506615
ambly5,500789
amse3,16226
amsej,16228
amses,16227
amva,16225
ambly4,16219
amac2,36497
amam2,36498
amar2,36496
amara2,182419
amare,182420
amarp,182421
ambi2,36500
amca7,182424
amch4,36501
amch2,36502
amch5,36503
amco3,36522
amco4,36504
amde4,36505
amdu2,36506
amer,36507
amgr5,36508
amhi3,36510
amil2,36511
amli3,36513
ampe2,36515
amps,36516
ampu4,36517
amte5,36519
amto3,36520
amtr,36521
amtrt,182423
amtrt2,182422
amhe3,36509
amin,36512
ambro,36495
amal2,25109
amala,182033
amalc,182034
amalh,182035
amals,182036
amar3,25110
amara3,182038
amara4,182037
amara5,182039
amas2,
amba,25111
amca4,25112
amhu2,182045
amin2,25114
amla,182046
amla9,
amna2,182047
amob2,25117
amov2,
ampa2,182048
ampu5,182049
amsa,25119
amsag,182041
amsas,182040
amst80,564999
amut,25121
amutc2,566181
amutu,182042
amin4,25115
amne,25116
amqu,25118
amela,25108
amja,25124
amela2,25123
amro,43487
amero,43486
ammu,42775
amian,42774
amau2,27093
amba3,182100
amco,27091
amla3,27092
amro3,182101
amse4,
amman,27090
amma,29577
amvi2,29578
ammi4,29576
amba8,
ammoc3,
amti,
ammoc2,
amch3,19583
ammoc,19582
amar4,40449
amara6,
ambr,40448
amch6,185263
ammop,40447
ambu,29580
amgi,29581
ampo4,29582
ammos,29579
amco12,506502
amgr9,506503
amomu,500773
amgo,22253
ampa3,22254
amwr2,22255
amore,22252
amca5,25370
amcac,182058
amcan,182059
amca6,25371
amfr,25368
amge,25375
amgec,182061
amgeg,182060
amgl2,25376
amhe,25377
amhec,182063
amheh,182062
amla2,25378
amna,25379
amni,25380
amou,25382
ampa4,25383
amro2,182065
amsc2,25384
amno,25381
amorp,25367
amko2,506751
ampa13,506752
amorp2,500822
amca14,507577
ampel4,500891
amma5,
ampel2,41381
amac4,184732
amar5,28631
ambr7,28632
amco2,28633
amme4,
ampel3,28630
amam3,36524
amdr,36525
amphi8,36523
ampu7,33463
amphi5,33461
amne4,
amsc4,182546
amphi9,182545
ambr2,182067
ambrb,566182
ambrc,184629
amphi4,182066
ammu2,41386
ampu6,41387
amphi2,41383
amca13,547523
amla70,15928
ammo70,15929
amphi10,15927
ampa6,34328
amphi6,34327
amfr2,36527
amfrf,182427
amfrs2,182428
amphi3,36526
amla4,34311
amphi7,34310
amca8,182240
amdo,31701
amea2,182241
amgr3,31708
amlu,31704
amly,31710
amme,31711
ammei2,531246
ammem2,531247
amsp3,31713
amte3,31706
amteg,531248
amtet,531249
amve,31707
amvef,184848
amvev,531250
amsin,31700
amci,30133
amcic,182202
amcit,182203
amcit2,182204
amfu,182211
amgr4,30136
amhu,30138
amil,30139
amjo,30140
amke,184767
amlo,30141
amlol,182205
amlos,182206
amlu2,30142
ampa5,30143
ampe,30144
amre3,30145
amri,30146
amta2,30148
amtag,184765
amtas,182208
amtat,182207
amth,30149
amto2,30150
amtos,182210
amtot,182209
amson,30130
amco10,
amco11,
amel60,
amha,
ampa12,
ampe5,
amsu2,
amygd2,190040
amba2,28874
amdi4,565000
amel,28875
amma3,28876
amte4,28877
amyri,28873
ansp11,547524
anaca2,16486
anoc,28793
anaca,28792
anla14,547525
anme9,548230
anmeb,549325
anmem,549324
anaco,183993
ancl2,
anacy2,
anpe13,500958
anade,184631
anar,24043
anara7,566011
anarf,184559
anmi4,182017
anmo2,182018
anpu4,24044
ante8,
anaga,24042
anpu18,
anamy,
anco30,42335
anana,42334
anma,36529
anaph,36528
anbr15,191025
anpa10,191026
anse60,191027
anul,191028
anapt2,191024
anor4,14825
anast,14824
anas,14844
ando6,14847
anhe8,14848
anmi7,14854
anmi8,14857
anmig,14861
anmim,14859
ansa7,14865
ansp9,14867
ante9,14868
anast2,14843
anar16,182243
anaz,31715
anba3,31716
anca29,182244
anof,31718
anchu,31714
anun4,
ancis3,
anfi3,182440
ancis2,182439
anin,26458
andir,26457
anal13,547526
anbl70,547527
ancr8,547528
anhe10,547529
anme8,548228
anmee,549327
anmem2,549326
anmu9,547530
anni6,547531
anob8,547532
anro7,548229
anrop2,549329
anror2,549328
anru7,
anrup,549331
anrur,549330
ansc11,547533
ansi4,547534
andre2,15746
anma18,15753
andre3,15752
anec,182366
andro5,182365
anpo,23465
anpog,526876
anpop,182004
anja4,
andro,23464
anar2,40457
anbi,40469
anbr2,40452
anca4,40453
anfl,40461
anfr4,
anga3,506687
